set output "plot4.txt"

set xlabel 'Time (s)'
set ylabel 'rxPower (dBm)'
set key center right
splot "-"  title "txPower 20dBm", -94.0 title "-94 dBm CSThreshold"
0.501 21.0678 21.0051
0.502 18.2523 10.8982
0.503 20.3717 19.4235
0.504 21.0702 22.0434
0.505 20.3834 13.117
0.506 17.2985 14.3612
0.507 24.673 21.9397
0.508 20.2501 20.1694
0.509 19.9193 24.353
0.51 26.0062 17.2108
0.511 21.048 23.7349
0.512 18.251 18.3101
0.513 16.8546 11.9622
0.514 22.9906 20.6925
0.515 13.3351 16.8152
0.516 18.0571 17.4377
0.517 17.4201 20.4876
0.518 15.4597 23.542
0.519 20.2841 14.9727
0.52 16.4774 24.9688
0.521 21.7994 19.8737
0.522 16.8456 10.2407
0.523 19.2555 18.0018
0.524 15.4099 20.4862
0.525 9.57552 19.8638
0.526 15.4713 18.4722
0.527 22.1822 16.8478
0.528 16.2793 11.8938
0.529 19.7283 19.465
0.53 18.7372 17.2796
0.531 23.6315 -1.4063
0.532 22.8676 18.1205
0.533 20.9306 13.375
0.534 19.8641 20.3824
0.535 17.6411 22.0216
0.536 20.2155 22.6374
0.537 23.1645 19.7614
0.538 19.2817 22.4375
0.539 18.5216 23.8443
0.54 21.144 23.1943
0.541 16.0947 15.2628
0.542 23.76 9.2603
0.543 15.5494 5.79344
0.544 -7.09889 19.7825
0.545 14.7277 23.3064
0.546 13.5736 21.9989
0.547 17.4006 4.59075
0.548 9.94856 15.7716
0.549 24.4212 5.75496
0.55 21.9463 24.5418
0.551 16.9364 25.075
0.552 20.4878 20.7023
0.553 13.4554 18.3761
0.554 9.76009 11.9467
0.555 20.8527 21.6902
0.556 9.73521 2.40753
0.557 22.5194 23.4524
0.558 -0.878657 18.1903
0.559 19.388 21.6375
0.56 23.8246 19.2527
0.561 7.09434 14.3691
0.562 10.8028 13.3459
0.563 23.8913 17.4638
0.564 14.7051 17.6105
0.565 19.8869 16.1337
0.566 18.3621 22.1715
0.567 14.5959 22.5811
0.568 19.899 16.2922
0.569 17.612 19.5515
0.57 20.6978 16.8168
0.571 22.7119 19.3212
0.572 22.5768 17.6491
0.573 25.3277 13.3394
0.574 13.4597 25.7639
0.575 16.6387 22.1564
0.576 18.7001 27.974
0.577 12.4782 23.3845
0.578 14.9332 23.2568
0.579 17.748 23.416
0.58 17.6609 21.5697
0.581 12.2249 20.5837
0.582 21.7792 19.7583
0.583 21.4975 22.8658
0.584 11.5068 19.1595
0.585 18.9567 14.5536
0.586 14.2822 7.20946
0.587 16.6878 2.81393
0.588 25.1404 20.7646
0.589 16.4715 22.6761
0.59 16.8255 23.1559
0.591 23.6434 24.7284
0.592 8.41893 22.1435
0.593 19.5617 20.46
0.594 15.7243 16.3811
0.595 21.6177 21.1221
0.596 26.3745 18.8369
0.597 19.4199 16.2096
0.598 13.657 6.11175
0.599 17.7632 16.8148
0.6 15.5196 19.8243
0.601 6.41066 14.7067
0.602 21.7903 10.9492
0.603 14.674 21.7792
0.604 16.33 21.2431
0.605 11.9425 9.85276
0.606 21.5272 27.5142
0.607 16.3466 23.2513
0.608 17.9503 17.7872
0.609 20.8221 17.1914
0.61 20.8086 16.2938
0.611 19.508 17.4257
0.612 2.9927 18.0873
0.613 20.1657 22.7051
0.614 23.9701 18.7897
0.615 22.9741 16.0694
0.616 27.822 12.6669
0.617 13.7768 19.0895
0.618 23.239 21.5721
0.619 13.3299 23.0572
0.62 19.2047 9.38428
0.621 18.8115 -3.55762
0.622 25.1175 18.0488
0.623 0.234657 18.972
0.624 17.9732 18.8087
0.625 18.9052 15.2583
0.626 21.4556 17.6304
0.627 10.2209 5.72075
0.628 19.0465 17.3549
0.629 26.1066 9.18403
0.63 13.2635 21.0202
0.631 16.4355 17.8013
0.632 18.2761 22.7844
0.633 19.4468 26.9655
0.634 21.0461 1.11599
0.635 25.9932 17.5731
0.636 20.3995 17.5773
0.637 15.9045 5.81837
0.638 21.7156 23.2264
0.639 20.0321 17.3214
0.64 14.4878 9.31146
0.641 22.8381 20.6704
0.642 19.5353 24.5435
0.643 20.905 16.4985
0.644 16.446 12.6649
0.645 23.4547 6.42882
0.646 18.3096 22.8995
0.647 21.4587 20.7447
0.648 21.0859 20.8507
0.649 24.0132 20.4198
0.65 23.4644 17.7498
0.651 10.258 15.842
0.652 8.22595 12.7111
0.653 23.0356 19.1979
0.654 22.0704 3.99767
0.655 18.2923 19.3765
0.656 11.5471 25.0778
0.657 22.4 14.2222
0.658 18.4377 18.2942
0.659 12.6147 23.7099
